Pairs,Hostel with floor,Room No
"['107118036', '110118011']",Aquamarine A First,81
"['106118033', '106118065']",Aquamarine A Second,123
"['107118002', '107118032']",Aquamarine B First,81
"['108118105', '110118094']",Aquamarine A First,80
"['108118017', '108118023']",Aquamarine A First,79
"['107118016', '108118043']",Aquamarine A First,78
"['108118086', '110118076']",Aquamarine A First,77
"['108118009', '110118019']",Aquamarine A First,76
"['102118010', '102118041']",Aquamarine A First,75
"['110118081', '111118064']",Aquamarine A First,74
"['102118022', '108118020']",Aquamarine B Second,123
"['102118060', '111118114']",Aquamarine A First,73
"['106118053', '106118066']",Aquamarine A First,72
"['107118048', '110118067']",Aquamarine B First,80
"['102118063', '103118028']",Aquamarine B First,79
"['108118078', '108118082']",Aquamarine B First,78
"['103118057', '114118009']",Aquamarine B First,77
"['110118066', '110118092']",Aquamarine B First,76
"['108118004', '108118028']",Aquamarine A First,71
"['106118096', '111118098']",Aquamarine B Second,122
"['111118090', '111118099']",Aquamarine B First,75
"['114118037', '114118095']",Aquamarine A First,70
"['106118025', '106118088']",Aquamarine A First,69
"['102118032', '106118051']",Aquamarine A First,68
"['106118071', '106118101']",Aquamarine B First,74
"['106118009', '106118103']",Aquamarine A First,67
"['107118043', '107118096']",Aquamarine A Second,122
"['102118046', '106118028']",Aquamarine B First,73
"['102118034', '108118029']",Aquamarine B First,72
"['107118017', '111118042']",Aquamarine A First,66
"['106118098', '111118032']",Aquamarine B Second,121
"['111118036', '112118036']",Aquamarine B First,71
"['107118097', '110118051']",Aquamarine B First,70
"['108118109', '114118044']",Aquamarine A First,65
"['107118062', '110118055']",Aquamarine B First,69
"['111118021', '114118053']",Aquamarine A First,64
"['107118023', '107118028']",Aquamarine B First,68
"['103118045', '103118099']",Aquamarine A First,63
"['102118018', '114118062']",Aquamarine A First,62
"['103118030', '108118079']",Aquamarine A First,61
"['102118065', '112118038']",Aquamarine B First,67
"['103118033', '112118035']",Aquamarine A Second,121
"['103118074', '114118015']",Aquamarine B First,66
"['103118031', '107118109']",Aquamarine A First,60
"['110118089', '112118010']",Aquamarine A First,59
"['108118062', '114118069']",Aquamarine A First,58
"['107118095', '108118037']",Aquamarine B First,65
"['111118061', '114118066']",Aquamarine B First,64
"['110118062', '110118075']",Aquamarine B First,63
"['103118068', '112118063']",Aquamarine B First,62
"['107118050', '114118036']",Aquamarine A First,57
"['112118025', '114118094']",Aquamarine B First,61
"['103118016', '103118058']",Aquamarine B First,60
"['108118102', '108118108']",Aquamarine B Second,120
"['111118038', '114118060']",Aquamarine B First,59
"['102118012', '106118108']",Aquamarine B First,58
"['102118033', '114118100']",Aquamarine A First,56
"['108118066', '108118092']",Aquamarine B First,57
"['110118018', '110118100']",Aquamarine B First,56
"['103118006', '103118103']",Aquamarine A First,54
"['112118043', '114118046']",Aquamarine A First,55
"['103118046', '108118081']",Aquamarine B First,55
"['111118020', '111118110']",Aquamarine A First,53
"['103118098', '110118037']",Aquamarine B Second,119
"['107118027', '107118077']",Aquamarine B First,54
"['103118011', '103118104']",Aquamarine B First,53
"['111118001', '111118067']",Aquamarine A First,52
"['111118106', '114118013']",Aquamarine B First,52
"['102118031', '114118063']",Aquamarine B Second,118
"['107118066', '107118080']",Aquamarine B First,51
"['103118002', '103118024']",Aquamarine B Second,117
"['107118019', '108118084']",Aquamarine B First,50
"['107118089', '111118094']",Aquamarine B First,49
"['110118036', '110118057']",Aquamarine B First,48
"['101118004', '101118011']",Aquamarine B First,47
"['103118008', '107118025']",Aquamarine B First,46
